# coeff1	coeff2	chi2
6.999999999999999556e-01 -7.000000000000000666e-02 1.032858719831860753e+03
7.080808080808080884e-01 -7.000000000000000666e-02 1.008315592002814469e+03
7.161616161616161103e-01 -7.000000000000000666e-02 9.839325750852457304e+02
7.242424242424242431e-01 -7.000000000000000666e-02 9.603844460415948561e+02
7.323232323232322649e-01 -7.000000000000000666e-02 9.380216269081818155e+02
7.404040404040403978e-01 -7.000000000000000666e-02 9.156553398976470817e+02
7.484848484848484196e-01 -7.000000000000000666e-02 8.922146576747264817e+02
7.565656565656565524e-01 -7.000000000000000666e-02 8.699850747033706284e+02
7.646464646464645742e-01 -7.000000000000000666e-02 8.488083014561663049e+02
7.727272727272727071e-01 -7.000000000000000666e-02 8.286201228349250414e+02
7.808080808080807289e-01 -7.000000000000000666e-02 8.081813100041889584e+02
7.888888888888888618e-01 -7.000000000000000666e-02 7.880012948708024396e+02
7.969696969696968836e-01 -7.000000000000000666e-02 7.686473015269837106e+02
8.050505050505050164e-01 -7.000000000000000666e-02 7.499561798659932492e+02
8.131313131313131493e-01 -7.000000000000000666e-02 7.315936554786942452e+02
8.212121212121211711e-01 -7.000000000000000666e-02 7.134182748512644139e+02
8.292929292929291929e-01 -7.000000000000000666e-02 6.956933340478510672e+02
8.373737373737373257e-01 -7.000000000000000666e-02 6.786014335402170445e+02
8.454545454545454586e-01 -7.000000000000000666e-02 6.622370479360089348e+02
8.535353535353534804e-01 -7.000000000000000666e-02 6.460768952862068772e+02
8.616161616161615022e-01 -7.000000000000000666e-02 6.304735830763136164e+02
8.696969696969696351e-01 -7.000000000000000666e-02 6.150846723354675305e+02
8.777777777777777679e-01 -7.000000000000000666e-02 5.999334359386376718e+02
8.858585858585857897e-01 -7.000000000000000666e-02 5.855618643776219869e+02
8.939393939393939226e-01 -7.000000000000000666e-02 5.719798474686870122e+02
9.020202020202019444e-01 -7.000000000000000666e-02 5.589503261239090079e+02
9.101010101010100772e-01 -7.000000000000000666e-02 5.465153138895968823e+02
9.181818181818180991e-01 -7.000000000000000666e-02 5.313543467691375781e+02
9.262626262626262319e-01 -7.000000000000000666e-02 5.152338440554838144e+02
9.343434343434342537e-01 -7.000000000000000666e-02 4.990215186280286161e+02
9.424242424242423866e-01 -7.000000000000000666e-02 4.832297843865497384e+02
9.505050505050505194e-01 -7.000000000000000666e-02 4.680702896944664531e+02
9.585858585858585412e-01 -7.000000000000000666e-02 4.536290609455762137e+02
9.666666666666665630e-01 -7.000000000000000666e-02 4.399373040837076587e+02
9.747474747474746959e-01 -7.000000000000000666e-02 4.269299988953159755e+02
9.828282828282828287e-01 -7.000000000000000666e-02 4.145711525103146187e+02
9.909090909090908506e-01 -7.000000000000000666e-02 4.028256032451484430e+02
9.989898989898988724e-01 -7.000000000000000666e-02 3.916605615764612480e+02
1.007070707070707005e+00 -7.000000000000000666e-02 3.810454283751726621e+02
1.015151515151515138e+00 -7.000000000000000666e-02 3.709516283002976706e+02
1.023232323232323271e+00 -7.000000000000000666e-02 3.613524569967091793e+02
1.031313131313131404e+00 -7.000000000000000666e-02 3.522229408703223044e+02
1.039393939393939315e+00 -7.000000000000000666e-02 3.435396754508445269e+02
1.047474747474747447e+00 -7.000000000000000666e-02 3.352833554077051872e+02
1.055555555555555580e+00 -7.000000000000000666e-02 3.274625282467665670e+02
1.063636363636363491e+00 -7.000000000000000666e-02 3.200065425415762661e+02
1.071717171717171624e+00 -7.000000000000000666e-02 3.128170689469495755e+02
1.079797979797979757e+00 -7.000000000000000666e-02 3.054170116204628016e+02
1.087878787878787890e+00 -7.000000000000000666e-02 2.979800141587401754e+02
1.095959595959596022e+00 -7.000000000000000666e-02 2.893455682735902315e+02
1.104040404040403933e+00 -7.000000000000000666e-02 2.810852792471685007e+02
1.112121212121212066e+00 -7.000000000000000666e-02 2.730317050830122412e+02
1.120202020202020199e+00 -7.000000000000000666e-02 2.652838244048293177e+02
1.128282828282828110e+00 -7.000000000000000666e-02 2.578760931035777730e+02
1.136363636363636243e+00 -7.000000000000000666e-02 2.508073803251516267e+02
1.144444444444444375e+00 -7.000000000000000666e-02 2.440127253000806604e+02
1.152525252525252508e+00 -7.000000000000000666e-02 2.375644174945649354e+02
