# coeff1	coeff2	chi2
6.999999999999999556e-01 -7.000000000000000666e-02 3.500102114728333618e+03
7.080808080808080884e-01 -7.000000000000000666e-02 3.465586011806172337e+03
7.161616161616161103e-01 -7.000000000000000666e-02 3.432078668257255686e+03
7.242424242424242431e-01 -7.000000000000000666e-02 3.399586195396533185e+03
7.323232323232322649e-01 -7.000000000000000666e-02 3.367566214067121109e+03
7.404040404040403978e-01 -7.000000000000000666e-02 3.335941807596103445e+03
7.484848484848484196e-01 -7.000000000000000666e-02 3.305006952423429993e+03
7.565656565656565524e-01 -7.000000000000000666e-02 3.274608798254439080e+03
7.646464646464645742e-01 -7.000000000000000666e-02 3.244623029095044785e+03
7.727272727272727071e-01 -7.000000000000000666e-02 3.215497488241522205e+03
7.808080808080807289e-01 -7.000000000000000666e-02 3.186855705777730236e+03
7.888888888888888618e-01 -7.000000000000000666e-02 3.149446720656073012e+03
7.969696969696968836e-01 -7.000000000000000666e-02 3.112289570382783495e+03
8.050505050505050164e-01 -7.000000000000000666e-02 3.076043494951185039e+03
8.131313131313131493e-01 -7.000000000000000666e-02 3.040551804689483561e+03
8.212121212121211711e-01 -7.000000000000000666e-02 3.005388302917752753e+03
8.292929292929291929e-01 -7.000000000000000666e-02 2.970900421475114854e+03
8.373737373737373257e-01 -7.000000000000000666e-02 2.937091321548858105e+03
8.454545454545454586e-01 -7.000000000000000666e-02 2.903803453017843367e+03
8.535353535353534804e-01 -7.000000000000000666e-02 2.871199580905800758e+03
8.616161616161615022e-01 -7.000000000000000666e-02 2.839153805618273509e+03
8.696969696969696351e-01 -7.000000000000000666e-02 2.807843957166270684e+03
8.777777777777777679e-01 -7.000000000000000666e-02 2.775321749839999484e+03
8.858585858585857897e-01 -7.000000000000000666e-02 2.743220101028253794e+03
8.939393939393939226e-01 -7.000000000000000666e-02 2.711897909725550562e+03
9.020202020202019444e-01 -7.000000000000000666e-02 2.680434446122460031e+03
9.101010101010100772e-01 -7.000000000000000666e-02 2.649975624948327550e+03
9.181818181818180991e-01 -7.000000000000000666e-02 2.617314704601776612e+03
9.262626262626262319e-01 -7.000000000000000666e-02 2.581665167021717025e+03
9.343434343434342537e-01 -7.000000000000000666e-02 2.546870872701212193e+03
9.424242424242423866e-01 -7.000000000000000666e-02 2.512899934231455518e+03
9.505050505050505194e-01 -7.000000000000000666e-02 2.479647187622289493e+03
9.585858585858585412e-01 -7.000000000000000666e-02 2.447001906998230879e+03
9.666666666666665630e-01 -7.000000000000000666e-02 2.414701064891172791e+03
9.747474747474746959e-01 -7.000000000000000666e-02 2.382973184212885826e+03
9.828282828282828287e-01 -7.000000000000000666e-02 2.351970016694853712e+03
9.909090909090908506e-01 -7.000000000000000666e-02 2.321746234854648264e+03
9.989898989898988724e-01 -7.000000000000000666e-02 2.292277745919926929e+03
1.007070707070707005e+00 -7.000000000000000666e-02 2.263541437327022322e+03
1.015151515151515138e+00 -7.000000000000000666e-02 2.235515124529797959e+03
1.023232323232323271e+00 -7.000000000000000666e-02 2.208177502290212942e+03
1.031313131313131404e+00 -7.000000000000000666e-02 2.181510164285926294e+03
1.039393939393939315e+00 -7.000000000000000666e-02 2.155455204134186260e+03
1.047474747474747447e+00 -7.000000000000000666e-02 2.129832343925733767e+03
1.055555555555555580e+00 -7.000000000000000666e-02 2.104566572736383023e+03
1.063636363636363491e+00 -7.000000000000000666e-02 2.079809992203472575e+03
1.071717171717171624e+00 -7.000000000000000666e-02 2.055533626628313414e+03
1.079797979797979757e+00 -7.000000000000000666e-02 2.031836422084921651e+03
1.087878787878787890e+00 -7.000000000000000666e-02 2.008676476406265692e+03
1.095959595959596022e+00 -7.000000000000000666e-02 1.986101275083418159e+03
1.104040404040403933e+00 -7.000000000000000666e-02 1.963859969333798517e+03
1.112121212121212066e+00 -7.000000000000000666e-02 1.941340967939109987e+03
1.120202020202020199e+00 -7.000000000000000666e-02 1.919393352733059146e+03
1.128282828282828110e+00 -7.000000000000000666e-02 1.898025538556200672e+03
1.136363636363636243e+00 -7.000000000000000666e-02 1.877059768203525209e+03
1.144444444444444375e+00 -7.000000000000000666e-02 1.856199307269674364e+03
1.152525252525252508e+00 -7.000000000000000666e-02 1.835831920686935291e+03
1.160606060606060641e+00 -7.000000000000000666e-02 1.815959348330275816e+03
1.168686868686868774e+00 -7.000000000000000666e-02 1.796457998383612903e+03
1.176767676767676685e+00 -7.000000000000000666e-02 1.777288063518384433e+03
1.184848484848484818e+00 -7.000000000000000666e-02 1.758119663451787801e+03
1.192929292929292950e+00 -7.000000000000000666e-02 1.739401908990912716e+03
1.201010101010100861e+00 -7.000000000000000666e-02 1.721123352109372263e+03
1.209090909090908994e+00 -7.000000000000000666e-02 1.703284476539113939e+03
1.217171717171717127e+00 -7.000000000000000666e-02 1.685821456474197475e+03
1.225252525252525260e+00 -7.000000000000000666e-02 1.668755888163159852e+03
1.233333333333333393e+00 -7.000000000000000666e-02 1.652092499708883224e+03
1.241414141414141525e+00 -7.000000000000000666e-02 1.635843341359894794e+03
1.249494949494949436e+00 -7.000000000000000666e-02 1.619839342861400155e+03
1.257575757575757569e+00 -7.000000000000000666e-02 1.603983954981743636e+03
1.265656565656565480e+00 -7.000000000000000666e-02 1.588492485973360090e+03
1.273737373737373613e+00 -7.000000000000000666e-02 1.573220047404971183e+03
1.281818181818181746e+00 -7.000000000000000666e-02 1.558285198128861794e+03
1.289898989898989878e+00 -7.000000000000000666e-02 1.543691662074047599e+03
1.297979797979798011e+00 -7.000000000000000666e-02 1.529492489248612628e+03
1.306060606060606144e+00 -7.000000000000000666e-02 1.515634079748507929e+03
1.314141414141414055e+00 -7.000000000000000666e-02 1.501989496567198785e+03
1.322222222222222188e+00 -7.000000000000000666e-02 1.488732143779969647e+03
1.330303030303030098e+00 -7.000000000000000666e-02 1.475811233388453729e+03
1.338383838383838231e+00 -7.000000000000000666e-02 1.463181879663251266e+03
1.346464646464646364e+00 -7.000000000000000666e-02 1.450836780963607453e+03
1.354545454545454497e+00 -7.000000000000000666e-02 1.438768864218556018e+03
1.362626262626262630e+00 -7.000000000000000666e-02 1.426971275961529727e+03
1.370707070707070763e+00 -7.000000000000000666e-02 1.415436683453374144e+03
1.378787878787878896e+00 -7.000000000000000666e-02 1.404070495552674856e+03
1.386868686868686806e+00 -7.000000000000000666e-02 1.392835611690912401e+03
1.394949494949494939e+00 -7.000000000000000666e-02 1.381242223272264937e+03
