# coeff1	coeff2	chi2
6.999999999999999556e-01 -7.000000000000000666e-02 1.136912248201781722e+03
7.080808080808080884e-01 -7.000000000000000666e-02 1.116933229372337109e+03
7.161616161616161103e-01 -7.000000000000000666e-02 1.096153244729447579e+03
7.242424242424242431e-01 -7.000000000000000666e-02 1.075217868188564353e+03
7.323232323232322649e-01 -7.000000000000000666e-02 1.055428489554180260e+03
7.404040404040403978e-01 -7.000000000000000666e-02 1.036698380843271480e+03
7.484848484848484196e-01 -7.000000000000000666e-02 1.018843823401467375e+03
7.565656565656565524e-01 -7.000000000000000666e-02 1.001746416307544450e+03
7.646464646464645742e-01 -7.000000000000000666e-02 9.853866950208505386e+02
7.727272727272727071e-01 -7.000000000000000666e-02 9.695016883723981209e+02
7.808080808080807289e-01 -7.000000000000000666e-02 9.542090059678625948e+02
7.888888888888888618e-01 -7.000000000000000666e-02 9.394165287535960260e+02
7.969696969696968836e-01 -7.000000000000000666e-02 9.252287697007467386e+02
8.050505050505050164e-01 -7.000000000000000666e-02 9.118887549269413739e+02
8.131313131313131493e-01 -7.000000000000000666e-02 8.982206811614744311e+02
8.212121212121211711e-01 -7.000000000000000666e-02 8.853054757256669518e+02
8.292929292929291929e-01 -7.000000000000000666e-02 8.728944376302891897e+02
8.373737373737373257e-01 -7.000000000000000666e-02 8.611254621342192195e+02
8.454545454545454586e-01 -7.000000000000000666e-02 8.497823444797497814e+02
8.535353535353534804e-01 -7.000000000000000666e-02 8.379641842663361331e+02
8.616161616161615022e-01 -7.000000000000000666e-02 8.265665778329936302e+02
8.696969696969696351e-01 -7.000000000000000666e-02 8.156070587605740911e+02
8.777777777777777679e-01 -7.000000000000000666e-02 8.049845155852950711e+02
8.858585858585857897e-01 -7.000000000000000666e-02 7.947694934714824058e+02
8.939393939393939226e-01 -7.000000000000000666e-02 7.850805295356523175e+02
9.020202020202019444e-01 -7.000000000000000666e-02 7.758951778590113690e+02
9.101010101010100772e-01 -7.000000000000000666e-02 7.670396396912545924e+02
9.181818181818180991e-01 -7.000000000000000666e-02 7.584860213361067736e+02
9.262626262626262319e-01 -7.000000000000000666e-02 7.504108355669211505e+02
9.343434343434342537e-01 -7.000000000000000666e-02 7.422919166582689741e+02
9.424242424242423866e-01 -7.000000000000000666e-02 7.344724994353427974e+02
9.505050505050505194e-01 -7.000000000000000666e-02 7.255708227115226236e+02
9.585858585858585412e-01 -7.000000000000000666e-02 7.169711244095915390e+02
9.666666666666665630e-01 -7.000000000000000666e-02 7.087561699833021294e+02
9.747474747474746959e-01 -7.000000000000000666e-02 7.007993623281512328e+02
9.828282828282828287e-01 -7.000000000000000666e-02 6.930746844256048007e+02
9.909090909090908506e-01 -7.000000000000000666e-02 6.856102348280064689e+02
9.989898989898988724e-01 -7.000000000000000666e-02 6.783968855623661511e+02
1.007070707070707005e+00 -7.000000000000000666e-02 6.714226828096191184e+02
1.015151515151515138e+00 -7.000000000000000666e-02 6.646764162821035598e+02
1.023232323232323271e+00 -7.000000000000000666e-02 6.581478097244039418e+02
1.031313131313131404e+00 -7.000000000000000666e-02 6.518550759823318685e+02
1.039393939393939315e+00 -7.000000000000000666e-02 6.457969928062166218e+02
1.047474747474747447e+00 -7.000000000000000666e-02 6.400191777257598460e+02
1.055555555555555580e+00 -7.000000000000000666e-02 6.343733426423783612e+02
1.063636363636363491e+00 -7.000000000000000666e-02 6.288013201974698632e+02
1.071717171717171624e+00 -7.000000000000000666e-02 6.230998958641022227e+02
1.079797979797979757e+00 -7.000000000000000666e-02 6.174969875063587779e+02
1.087878787878787890e+00 -7.000000000000000666e-02 6.120554035502420902e+02
1.095959595959596022e+00 -7.000000000000000666e-02 6.068426592020323369e+02
