# coeff1	coeff2	chi2
6.999999999999999556e-01 -7.000000000000000666e-02 1.876947055982742768e+03
7.080808080808080884e-01 -7.000000000000000666e-02 1.807450616438916086e+03
7.161616161616161103e-01 -7.000000000000000666e-02 1.742899386770787032e+03
7.242424242424242431e-01 -7.000000000000000666e-02 1.684132522368808168e+03
7.323232323232322649e-01 -7.000000000000000666e-02 1.637804919113444839e+03
7.404040404040403978e-01 -7.000000000000000666e-02 1.594939717176368958e+03
7.484848484848484196e-01 -7.000000000000000666e-02 1.555253586949446117e+03
7.565656565656565524e-01 -7.000000000000000666e-02 1.518484344246136743e+03
7.646464646464645742e-01 -7.000000000000000666e-02 1.484371977174489302e+03
7.727272727272727071e-01 -7.000000000000000666e-02 1.451615922931063551e+03
7.808080808080807289e-01 -7.000000000000000666e-02 1.420906361246439019e+03
7.888888888888888618e-01 -7.000000000000000666e-02 1.391959993259301655e+03
7.969696969696968836e-01 -7.000000000000000666e-02 1.365300719508358497e+03
8.050505050505050164e-01 -7.000000000000000666e-02 1.339158586087883123e+03
8.131313131313131493e-01 -7.000000000000000666e-02 1.313797451048847279e+03
8.212121212121211711e-01 -7.000000000000000666e-02 1.289959471556734570e+03
8.292929292929291929e-01 -7.000000000000000666e-02 1.267719526651648266e+03
8.373737373737373257e-01 -7.000000000000000666e-02 1.246858060371193233e+03
8.454545454545454586e-01 -7.000000000000000666e-02 1.227263309531942696e+03
8.535353535353534804e-01 -7.000000000000000666e-02 1.208839228562656444e+03
8.616161616161615022e-01 -7.000000000000000666e-02 1.195488385479083718e+03
8.696969696969696351e-01 -7.000000000000000666e-02 1.182390478234378406e+03
8.777777777777777679e-01 -7.000000000000000666e-02 1.169708500935963002e+03
8.858585858585857897e-01 -7.000000000000000666e-02 1.157485588690777149e+03
8.939393939393939226e-01 -7.000000000000000666e-02 1.128906034028263093e+03
9.020202020202019444e-01 -7.000000000000000666e-02 1.099310018970694500e+03
9.101010101010100772e-01 -7.000000000000000666e-02 1.072010187564251055e+03
9.181818181818180991e-01 -7.000000000000000666e-02 1.047969262915420359e+03
9.262626262626262319e-01 -7.000000000000000666e-02 1.024893212786188997e+03
9.343434343434342537e-01 -7.000000000000000666e-02 1.002846053635993371e+03
9.424242424242423866e-01 -7.000000000000000666e-02 9.824412607121851124e+02
9.505050505050505194e-01 -7.000000000000000666e-02 9.631866413082973395e+02
9.585858585858585412e-01 -7.000000000000000666e-02 9.450275056565806153e+02
9.666666666666665630e-01 -7.000000000000000666e-02 9.278992471317133095e+02
9.747474747474746959e-01 -7.000000000000000666e-02 9.117387043543075151e+02
9.828282828282828287e-01 -7.000000000000000666e-02 8.964833029306472554e+02
9.909090909090908506e-01 -7.000000000000000666e-02 8.820747961571216820e+02
9.989898989898988724e-01 -7.000000000000000666e-02 8.684589441137986796e+02
1.007070707070707005e+00 -7.000000000000000666e-02 8.555852183498180921e+02
1.015151515151515138e+00 -7.000000000000000666e-02 8.434065299665782049e+02
1.023232323232323271e+00 -7.000000000000000666e-02 8.318789791064879182e+02
1.031313131313131404e+00 -7.000000000000000666e-02 8.209616240368798117e+02
1.039393939393939315e+00 -7.000000000000000666e-02 8.106162681827970573e+02
1.047474747474747447e+00 -7.000000000000000666e-02 8.008072636106442133e+02
1.055555555555555580e+00 -7.000000000000000666e-02 7.915019393447528273e+02
1.063636363636363491e+00 -7.000000000000000666e-02 7.826241139461606053e+02
1.071717171717171624e+00 -7.000000000000000666e-02 7.740076267303828672e+02
1.079797979797979757e+00 -7.000000000000000666e-02 7.657739294328920323e+02
