# coeff1	coeff2	chi2
6.999999999999999556e-01 -7.000000000000000666e-02 1.842946921958589201e+03
7.080808080808080884e-01 -7.000000000000000666e-02 1.808124563820079175e+03
7.161616161616161103e-01 -7.000000000000000666e-02 1.772846750739808158e+03
7.242424242424242431e-01 -7.000000000000000666e-02 1.739202261690193154e+03
7.323232323232322649e-01 -7.000000000000000666e-02 1.704930024249292956e+03
7.404040404040403978e-01 -7.000000000000000666e-02 1.661090715525570204e+03
7.484848484848484196e-01 -7.000000000000000666e-02 1.620002549059719513e+03
7.565656565656565524e-01 -7.000000000000000666e-02 1.581760331987585232e+03
7.646464646464645742e-01 -7.000000000000000666e-02 1.546129876680875213e+03
7.727272727272727071e-01 -7.000000000000000666e-02 1.512112283743811531e+03
7.808080808080807289e-01 -7.000000000000000666e-02 1.473620956628293243e+03
7.888888888888888618e-01 -7.000000000000000666e-02 1.437510474058784894e+03
7.969696969696968836e-01 -7.000000000000000666e-02 1.403751036058275076e+03
8.050505050505050164e-01 -7.000000000000000666e-02 1.372417251143035855e+03
8.131313131313131493e-01 -7.000000000000000666e-02 1.342516294708922942e+03
8.212121212121211711e-01 -7.000000000000000666e-02 1.314355096174311939e+03
8.292929292929291929e-01 -7.000000000000000666e-02 1.287478104853422792e+03
8.373737373737373257e-01 -7.000000000000000666e-02 1.261787733848824018e+03
8.454545454545454586e-01 -7.000000000000000666e-02 1.237471011088109663e+03
8.535353535353534804e-01 -7.000000000000000666e-02 1.214174071648014660e+03
8.616161616161615022e-01 -7.000000000000000666e-02 1.192192594352808555e+03
8.696969696969696351e-01 -7.000000000000000666e-02 1.171513996004985074e+03
8.777777777777777679e-01 -7.000000000000000666e-02 1.152052873863105788e+03
8.858585858585857897e-01 -7.000000000000000666e-02 1.133707210215993200e+03
8.939393939393939226e-01 -7.000000000000000666e-02 1.117093087190049573e+03
9.020202020202019444e-01 -7.000000000000000666e-02 1.102274257200030434e+03
9.101010101010100772e-01 -7.000000000000000666e-02 1.088181594484923608e+03
9.181818181818180991e-01 -7.000000000000000666e-02 1.069114635157538260e+03
9.262626262626262319e-01 -7.000000000000000666e-02 1.049670899198611551e+03
9.343434343434342537e-01 -7.000000000000000666e-02 1.027819727164562892e+03
9.424242424242423866e-01 -7.000000000000000666e-02 1.007292966104791390e+03
9.505050505050505194e-01 -7.000000000000000666e-02 9.871340729561535454e+02
9.585858585858585412e-01 -7.000000000000000666e-02 9.679299541012345571e+02
9.666666666666665630e-01 -7.000000000000000666e-02 9.497689550599421864e+02
9.747474747474746959e-01 -7.000000000000000666e-02 9.325760611867157195e+02
9.828282828282828287e-01 -7.000000000000000666e-02 9.162966642612124133e+02
9.909090909090908506e-01 -7.000000000000000666e-02 9.008797549479187410e+02
9.989898989898988724e-01 -7.000000000000000666e-02 8.862776573127683832e+02
1.007070707070707005e+00 -7.000000000000000666e-02 8.724457847453186332e+02
1.015151515151515138e+00 -7.000000000000000666e-02 8.593424154217319710e+02
1.023232323232323271e+00 -7.000000000000000666e-02 8.469284856182104022e+02
1.031313131313131404e+00 -7.000000000000000666e-02 8.351673993413515973e+02
1.039393939393939315e+00 -7.000000000000000666e-02 8.240248528833386672e+02
1.047474747474747447e+00 -7.000000000000000666e-02 8.134683235051360271e+02
1.055555555555555580e+00 -7.000000000000000666e-02 8.035598051638971810e+02
1.063636363636363491e+00 -7.000000000000000666e-02 7.941286647905972131e+02
1.071717171717171624e+00 -7.000000000000000666e-02 7.852143327255350869e+02
1.079797979797979757e+00 -7.000000000000000666e-02 7.756420408728301936e+02
1.087878787878787890e+00 -7.000000000000000666e-02 7.652506968110341177e+02
1.095959595959596022e+00 -7.000000000000000666e-02 7.513268858585789758e+02
1.104040404040403933e+00 -7.000000000000000666e-02 7.369725659702111216e+02
1.112121212121212066e+00 -7.000000000000000666e-02 7.235403014281217793e+02
1.120202020202020199e+00 -7.000000000000000666e-02 7.111016435688122783e+02
1.128282828282828110e+00 -7.000000000000000666e-02 6.992432317315119690e+02
1.136363636363636243e+00 -7.000000000000000666e-02 6.879471881293181923e+02
1.144444444444444375e+00 -7.000000000000000666e-02 6.772989478206939111e+02
1.152525252525252508e+00 -7.000000000000000666e-02 6.672349502939558761e+02
1.160606060606060641e+00 -7.000000000000000666e-02 6.576292205432393985e+02
1.168686868686868774e+00 -7.000000000000000666e-02 6.484636732891152633e+02
1.176767676767676685e+00 -7.000000000000000666e-02 6.398251665228021920e+02
1.184848484848484818e+00 -7.000000000000000666e-02 6.318718513207741125e+02
1.192929292929292950e+00 -7.000000000000000666e-02 6.243223488209225707e+02
1.201010101010100861e+00 -7.000000000000000666e-02 6.173950987069877101e+02
1.209090909090908994e+00 -7.000000000000000666e-02 6.109054012462366927e+02
1.217171717171717127e+00 -7.000000000000000666e-02 6.047913284957916176e+02
1.225252525252525260e+00 -7.000000000000000666e-02 5.990181502674006424e+02
1.233333333333333393e+00 -7.000000000000000666e-02 5.924488424067789083e+02
1.241414141414141525e+00 -7.000000000000000666e-02 5.856665249598196397e+02
1.249494949494949436e+00 -7.000000000000000666e-02 5.792442666714229063e+02
1.257575757575757569e+00 -7.000000000000000666e-02 5.731661946323428083e+02
1.265656565656565480e+00 -7.000000000000000666e-02 5.674172515656314317e+02
1.273737373737373613e+00 -7.000000000000000666e-02 5.604998341731435403e+02
1.281818181818181746e+00 -7.000000000000000666e-02 5.529866577842274182e+02
1.289898989898989878e+00 -7.000000000000000666e-02 5.458602410259437647e+02
1.297979797979798011e+00 -7.000000000000000666e-02 5.391026902135711225e+02
1.306060606060606144e+00 -7.000000000000000666e-02 5.327091444894015240e+02
1.314141414141414055e+00 -7.000000000000000666e-02 5.266652325914757284e+02
1.322222222222222188e+00 -7.000000000000000666e-02 5.210046369615870390e+02
1.330303030303030098e+00 -7.000000000000000666e-02 5.160829106732877563e+02
1.338383838383838231e+00 -7.000000000000000666e-02 5.121560812409437631e+02
1.346464646464646364e+00 -7.000000000000000666e-02 5.084930384987079037e+02
1.354545454545454497e+00 -7.000000000000000666e-02 5.050894126495347791e+02
1.362626262626262630e+00 -7.000000000000000666e-02 5.019403329565284935e+02
1.370707070707070763e+00 -7.000000000000000666e-02 4.990225314556705598e+02
1.378787878787878896e+00 -7.000000000000000666e-02 4.963266221625426624e+02
1.386868686868686806e+00 -7.000000000000000666e-02 4.933291587610559645e+02
1.394949494949494939e+00 -7.000000000000000666e-02 4.904677894365524367e+02
1.403030303030302850e+00 -7.000000000000000666e-02 4.878257152495811511e+02
1.411111111111110983e+00 -7.000000000000000666e-02 4.853937129353283808e+02
1.419191919191919116e+00 -7.000000000000000666e-02 4.831644020232978392e+02
1.427272727272727249e+00 -7.000000000000000666e-02 4.812874192190502640e+02
1.435353535353535381e+00 -7.000000000000000666e-02 4.795934653822815790e+02
1.443434343434343514e+00 -7.000000000000000666e-02 4.780772937314728210e+02
1.451515151515151425e+00 -7.000000000000000666e-02 4.761462524881281979e+02
1.459595959595959558e+00 -7.000000000000000666e-02 4.736294072037865135e+02
1.467676767676767469e+00 -7.000000000000000666e-02 4.713324207502378158e+02
1.475757575757575601e+00 -7.000000000000000666e-02 4.692519360031022302e+02
1.483838383838383734e+00 -7.000000000000000666e-02 4.673825813344741960e+02
1.491919191919191867e+00 -7.000000000000000666e-02 4.657147847577166431e+02
1.500000000000000000e+00 -7.000000000000000666e-02 4.642394328249578734e+02
6.999999999999999556e-01 -6.878787878787880061e-02 1.804476848394811896e+03
7.080808080808080884e-01 -6.878787878787880061e-02 1.769275066860157040e+03
7.161616161616161103e-01 -6.878787878787880061e-02 1.735450874895612742e+03
7.242424242424242431e-01 -6.878787878787880061e-02 1.696307271199163097e+03
7.323232323232322649e-01 -6.878787878787880061e-02 1.652853994851020161e+03
7.404040404040403978e-01 -6.878787878787880061e-02 1.611939943608418844e+03
7.484848484848484196e-01 -6.878787878787880061e-02 1.573817475792966889e+03
7.565656565656565524e-01 -6.878787878787880061e-02 1.538348998485355878e+03
7.646464646464645742e-01 -6.878787878787880061e-02 1.503420174608115531e+03
7.727272727272727071e-01 -6.878787878787880061e-02 1.464978416416380924e+03
7.808080808080807289e-01 -6.878787878787880061e-02 1.428955738519341367e+03
7.888888888888888618e-01 -6.878787878787880061e-02 1.394325696349811778e+03
7.969696969696968836e-01 -6.878787878787880061e-02 1.361815515988490688e+03
8.050505050505050164e-01 -6.878787878787880061e-02 1.331675792309737290e+03
8.131313131313131493e-01 -6.878787878787880061e-02 1.303427268002802066e+03
8.212121212121211711e-01 -6.878787878787880061e-02 1.276675937284137262e+03
8.292929292929291929e-01 -6.878787878787880061e-02 1.251174068695069082e+03
8.373737373737373257e-01 -6.878787878787880061e-02 1.227167480678178890e+03
8.454545454545454586e-01 -6.878787878787880061e-02 1.204071698540252328e+03
8.535353535353534804e-01 -6.878787878787880061e-02 1.182378301372194301e+03
8.616161616161615022e-01 -6.878787878787880061e-02 1.161878410211252003e+03
8.696969696969696351e-01 -6.878787878787880061e-02 1.142585081220226130e+03
8.777777777777777679e-01 -6.878787878787880061e-02 1.124453214202896334e+03
8.858585858585857897e-01 -6.878787878787880061e-02 1.108784151999158667e+03
8.939393939393939226e-01 -6.878787878787880061e-02 1.093888094273532943e+03
9.020202020202019444e-01 -6.878787878787880061e-02 1.077814419093361039e+03
9.101010101010100772e-01 -6.878787878787880061e-02 1.058640220078470747e+03
9.181818181818180991e-01 -6.878787878787880061e-02 1.038538090738507435e+03
9.262626262626262319e-01 -6.878787878787880061e-02 1.016701103209073608e+03
9.343434343434342537e-01 -6.878787878787880061e-02 9.962751679253397015e+02
9.424242424242423866e-01 -6.878787878787880061e-02 9.762308604303317452e+02
9.505050505050505194e-01 -6.878787878787880061e-02 9.570465262089016960e+02
9.585858585858585412e-01 -6.878787878787880061e-02 9.389337300660947676e+02
9.666666666666665630e-01 -6.878787878787880061e-02 9.217955961149564246e+02
9.747474747474746959e-01 -6.878787878787880061e-02 9.055770321505229958e+02
9.828282828282828287e-01 -6.878787878787880061e-02 8.902260933654172277e+02
9.909090909090908506e-01 -6.878787878787880061e-02 8.756942696454336783e+02
9.989898989898988724e-01 -6.878787878787880061e-02 8.619362313175400914e+02
1.007070707070707005e+00 -6.878787878787880061e-02 8.489095954587959341e+02
1.015151515151515138e+00 -6.878787878787880061e-02 8.365747109707331219e+02
1.023232323232323271e+00 -6.878787878787880061e-02 8.248944607919378313e+02
