# coeff1	coeff2	chi2
6.999999999999999556e-01 -7.000000000000000666e-02 2.198174595619691445e+02
7.080808080808080884e-01 -7.000000000000000666e-02 2.156035717103745526e+02
7.161616161616161103e-01 -7.000000000000000666e-02 2.116899476472046047e+02
7.242424242424242431e-01 -7.000000000000000666e-02 2.080555154617258609e+02
7.323232323232322649e-01 -7.000000000000000666e-02 2.047564998977018149e+02
7.404040404040403978e-01 -7.000000000000000666e-02 2.016965326481831937e+02
7.484848484848484196e-01 -7.000000000000000666e-02 1.981568182950886694e+02
7.565656565656565524e-01 -7.000000000000000666e-02 1.947534782717081896e+02
7.646464646464645742e-01 -7.000000000000000666e-02 1.916003600228813752e+02
7.727272727272727071e-01 -7.000000000000000666e-02 1.886655335322076610e+02
7.808080808080807289e-01 -7.000000000000000666e-02 1.857542565753142583e+02
7.888888888888888618e-01 -7.000000000000000666e-02 1.827864133200545211e+02
7.969696969696968836e-01 -7.000000000000000666e-02 1.800186312230163423e+02
8.050505050505050164e-01 -7.000000000000000666e-02 1.774361008883344084e+02
8.131313131313131493e-01 -7.000000000000000666e-02 1.749677111431294918e+02
8.212121212121211711e-01 -7.000000000000000666e-02 1.726317519355712307e+02
8.292929292929291929e-01 -7.000000000000000666e-02 1.705484072355120873e+02
8.373737373737373257e-01 -7.000000000000000666e-02 1.686055676638087277e+02
8.454545454545454586e-01 -7.000000000000000666e-02 1.667923321293388881e+02
8.535353535353534804e-01 -7.000000000000000666e-02 1.651002494635460494e+02
8.616161616161615022e-01 -7.000000000000000666e-02 1.635217164831773289e+02
8.696969696969696351e-01 -7.000000000000000666e-02 1.620688754722458498e+02
8.777777777777777679e-01 -7.000000000000000666e-02 1.608385865793635503e+02
8.858585858585857897e-01 -7.000000000000000666e-02 1.596900522295101723e+02
8.939393939393939226e-01 -7.000000000000000666e-02 1.586185671899003466e+02
9.020202020202019444e-01 -7.000000000000000666e-02 1.574112602341829188e+02
9.101010101010100772e-01 -7.000000000000000666e-02 1.562266799372847572e+02
9.181818181818180991e-01 -7.000000000000000666e-02 1.547750934148553199e+02
9.262626262626262319e-01 -7.000000000000000666e-02 1.531172380405930653e+02
9.343434343434342537e-01 -7.000000000000000666e-02 1.513081200431572313e+02
9.424242424242423866e-01 -7.000000000000000666e-02 1.495511621097915622e+02
9.505050505050505194e-01 -7.000000000000000666e-02 1.478874203527031455e+02
9.585858585858585412e-01 -7.000000000000000666e-02 1.463239326673580649e+02
9.666666666666665630e-01 -7.000000000000000666e-02 1.448552970674845710e+02
9.747474747474746959e-01 -7.000000000000000666e-02 1.434760837165931946e+02
9.828282828282828287e-01 -7.000000000000000666e-02 1.421812238335353413e+02
9.909090909090908506e-01 -7.000000000000000666e-02 1.409659827848955160e+02
9.989898989898988724e-01 -7.000000000000000666e-02 1.398259353706701518e+02
1.007070707070707005e+00 -7.000000000000000666e-02 1.387569431100698125e+02
1.015151515151515138e+00 -7.000000000000000666e-02 1.377551333525344432e+02
1.023232323232323271e+00 -7.000000000000000666e-02 1.368168800554587676e+02
1.031313131313131404e+00 -7.000000000000000666e-02 1.359387860848937919e+02
1.039393939393939315e+00 -7.000000000000000666e-02 1.351176669087886921e+02
1.047474747474747447e+00 -7.000000000000000666e-02 1.343505355643184487e+02
1.055555555555555580e+00 -7.000000000000000666e-02 1.336345887916576487e+02
1.063636363636363491e+00 -7.000000000000000666e-02 1.329665087743494780e+02
1.071717171717171624e+00 -7.000000000000000666e-02 1.323320051953564018e+02
1.079797979797979757e+00 -7.000000000000000666e-02 1.315955912232157345e+02
1.087878787878787890e+00 -7.000000000000000666e-02 1.307449579506759960e+02
1.095959595959596022e+00 -7.000000000000000666e-02 1.295170618290294442e+02
1.104040404040403933e+00 -7.000000000000000666e-02 1.283524738869139412e+02
1.112121212121212066e+00 -7.000000000000000666e-02 1.269654130445177316e+02
1.120202020202020199e+00 -7.000000000000000666e-02 1.256525553195409941e+02
1.128282828282828110e+00 -7.000000000000000666e-02 1.244102036809219101e+02
1.136363636363636243e+00 -7.000000000000000666e-02 1.232493154249663831e+02
1.144444444444444375e+00 -7.000000000000000666e-02 1.221599459641081324e+02
1.152525252525252508e+00 -7.000000000000000666e-02 1.211299220009485254e+02
1.160606060606060641e+00 -7.000000000000000666e-02 1.201564387792532500e+02
1.168686868686868774e+00 -7.000000000000000666e-02 1.192368463471367903e+02
1.176767676767676685e+00 -7.000000000000000666e-02 1.183686398944470426e+02
1.184848484848484818e+00 -7.000000000000000666e-02 1.176284924865084349e+02
1.192929292929292950e+00 -7.000000000000000666e-02 1.169502364968521277e+02
1.201010101010100861e+00 -7.000000000000000666e-02 1.163089596215152426e+02
1.209090909090908994e+00 -7.000000000000000666e-02 1.157094806738056434e+02
1.217171717171717127e+00 -7.000000000000000666e-02 1.151499093401244238e+02
1.225252525252525260e+00 -7.000000000000000666e-02 1.145997529715882592e+02
1.233333333333333393e+00 -7.000000000000000666e-02 1.140677557777785012e+02
1.241414141414141525e+00 -7.000000000000000666e-02 1.135714794217648063e+02
1.249494949494949436e+00 -7.000000000000000666e-02 1.131093815441400352e+02
1.257575757575757569e+00 -7.000000000000000666e-02 1.126799969427667776e+02
1.265656565656565480e+00 -7.000000000000000666e-02 1.119554045699201339e+02
1.273737373737373613e+00 -7.000000000000000666e-02 1.112390408556291987e+02
1.281818181818181746e+00 -7.000000000000000666e-02 1.105878816374485467e+02
1.289898989898989878e+00 -7.000000000000000666e-02 1.099908017396210482e+02
1.297979797979798011e+00 -7.000000000000000666e-02 1.094312833229323445e+02
1.306060606060606144e+00 -7.000000000000000666e-02 1.089077262852322292e+02
1.314141414141414055e+00 -7.000000000000000666e-02 1.083494437233448906e+02
1.322222222222222188e+00 -7.000000000000000666e-02 1.076247855443855315e+02
1.330303030303030098e+00 -7.000000000000000666e-02 1.069405089937681907e+02
1.338383838383838231e+00 -7.000000000000000666e-02 1.062949340945573340e+02
1.346464646464646364e+00 -7.000000000000000666e-02 1.056864611364967317e+02
1.354545454545454497e+00 -7.000000000000000666e-02 1.051135663447527406e+02
1.362626262626262630e+00 -7.000000000000000666e-02 1.045747978062487249e+02
1.370707070707070763e+00 -7.000000000000000666e-02 1.040590669902186960e+02
1.378787878787878896e+00 -7.000000000000000666e-02 1.035617617714585208e+02
1.386868686868686806e+00 -7.000000000000000666e-02 1.030952157354619203e+02
1.394949494949494939e+00 -7.000000000000000666e-02 1.026618142798816251e+02
1.403030303030302850e+00 -7.000000000000000666e-02 1.022866351751264773e+02
1.411111111111110983e+00 -7.000000000000000666e-02 1.019370023725158916e+02
1.419191919191919116e+00 -7.000000000000000666e-02 1.016110614442987412e+02
1.427272727272727249e+00 -7.000000000000000666e-02 1.012916148700685142e+02
1.435353535353535381e+00 -7.000000000000000666e-02 1.009346271017727759e+02
1.443434343434343514e+00 -7.000000000000000666e-02 1.005604036148462939e+02
1.451515151515151425e+00 -7.000000000000000666e-02 1.002108060770429034e+02
1.459595959595959558e+00 -7.000000000000000666e-02 9.988494127807338430e+01
1.467676767676767469e+00 -7.000000000000000666e-02 9.958195334504486596e+01
1.475757575757575601e+00 -7.000000000000000666e-02 9.930102194364178558e+01
1.483838383838383734e+00 -7.000000000000000666e-02 9.904136057622707767e+01
1.491919191919191867e+00 -7.000000000000000666e-02 9.880221497114172280e+01
1.500000000000000000e+00 -7.000000000000000666e-02 9.858286155784648486e+01
6.999999999999999556e-01 -6.878787878787880061e-02 2.120064676800009238e+02
7.080808080808080884e-01 -6.878787878787880061e-02 2.082363285868527498e+02
7.161616161616161103e-01 -6.878787878787880061e-02 2.047385479106000616e+02
7.242424242424242431e-01 -6.878787878787880061e-02 2.014982297179164448e+02
7.323232323232322649e-01 -6.878787878787880061e-02 1.983769980731061366e+02
7.404040404040403978e-01 -6.878787878787880061e-02 1.947675940714577791e+02
7.484848484848484196e-01 -6.878787878787880061e-02 1.914269934936188520e+02
7.565656565656565524e-01 -6.878787878787880061e-02 1.883363900180364965e+02
7.646464646464645742e-01 -6.878787878787880061e-02 1.854761744355445501e+02
7.727272727272727071e-01 -6.878787878787880061e-02 1.827476247407033441e+02
7.808080808080807289e-01 -6.878787878787880061e-02 1.799803397311791002e+02
7.888888888888888618e-01 -6.878787878787880061e-02 1.774053153256686812e+02
7.969696969696968836e-01 -6.878787878787880061e-02 1.750082744904580636e+02
8.050505050505050164e-01 -6.878787878787880061e-02 1.726888099269114321e+02
8.131313131313131493e-01 -6.878787878787880061e-02 1.704864406256924099e+02
8.212121212121211711e-01 -6.878787878787880061e-02 1.684329747726236803e+02
8.292929292929291929e-01 -6.878787878787880061e-02 1.665127750460674747e+02
8.373737373737373257e-01 -6.878787878787880061e-02 1.647210855918673644e+02
8.454545454545454586e-01 -6.878787878787880061e-02 1.630505120191531319e+02
8.535353535353534804e-01 -6.878787878787880061e-02 1.615084663751609924e+02
8.616161616161615022e-01 -6.878787878787880061e-02 1.601987733138122678e+02
8.696969696969696351e-01 -6.878787878787880061e-02 1.589760549552609064e+02
8.777777777777777679e-01 -6.878787878787880061e-02 1.578353262930762355e+02
8.858585858585857897e-01 -6.878787878787880061e-02 1.566831799710297446e+02
8.939393939393939226e-01 -6.878787878787880061e-02 1.554254936087394867e+02
9.020202020202019444e-01 -6.878787878787880061e-02 1.542637730420246669e+02
9.101010101010100772e-01 -6.878787878787880061e-02 1.526286480116614825e+02
9.181818181818180991e-01 -6.878787878787880061e-02 1.509670926967127684e+02
9.262626262626262319e-01 -6.878787878787880061e-02 1.491614872328744070e+02
9.343434343434342537e-01 -6.878787878787880061e-02 1.474196202034294743e+02
9.424242424242423866e-01 -6.878787878787880061e-02 1.457689433398629433e+02
9.505050505050505194e-01 -6.878787878787880061e-02 1.442186294844511849e+02
9.585858585858585412e-01 -6.878787878787880061e-02 1.427634143950660643e+02
9.666666666666665630e-01 -6.878787878787880061e-02 1.413978175074946648e+02
9.747474747474746959e-01 -6.878787878787880061e-02 1.401167093027110582e+02
9.828282828282828287e-01 -6.878787878787880061e-02 1.389153020485663887e+02
9.909090909090908506e-01 -6.878787878787880061e-02 1.377891242543123269e+02
9.989898989898988724e-01 -6.878787878787880061e-02 1.367339972131425725e+02
1.007070707070707005e+00 -6.878787878787880061e-02 1.357460134484285845e+02
1.015151515151515138e+00 -6.878787878787880061e-02 1.348215168967691397e+02
1.023232323232323271e+00 -6.878787878787880061e-02 1.339570846766699788e+02
1.031313131313131404e+00 -6.878787878787880061e-02 1.331495103057693257e+02
1.039393939393939315e+00 -6.878787878787880061e-02 1.323957882422500347e+02
1.047474747474747447e+00 -6.878787878787880061e-02 1.316930996375149334e+02
1.055555555555555580e+00 -6.878787878787880061e-02 1.310382279577685551e+02
1.063636363636363491e+00 -6.878787878787880061e-02 1.304168824780703630e+02
1.071717171717171624e+00 -6.878787878787880061e-02 1.296722966095377956e+02
1.079797979797979757e+00 -6.878787878787880061e-02 1.286673735890242938e+02
1.087878787878787890e+00 -6.878787878787880061e-02 1.274485113265999132e+02
1.095959595959596022e+00 -6.878787878787880061e-02 1.261288523256318399e+02
1.104040404040403933e+00 -6.878787878787880061e-02 1.247549527573772679e+02
1.112121212121212066e+00 -6.878787878787880061e-02 1.234553994971883668e+02
1.120202020202020199e+00 -6.878787878787880061e-02 1.222391876152475874e+02
1.128282828282828110e+00 -6.878787878787880061e-02 1.210978438178362921e+02
1.136363636363636243e+00 -6.878787878787880061e-02 1.200189833650877489e+02
1.144444444444444375e+00 -6.878787878787880061e-02 1.189996037825945336e+02
1.152525252525252508e+00 -6.878787878787880061e-02 1.180368710808906201e+02
1.160606060606060641e+00 -6.878787878787880061e-02 1.171749830499695122e+02
1.168686868686868774e+00 -6.878787878787880061e-02 1.164111806369396760e+02
1.176767676767676685e+00 -6.878787878787880061e-02 1.156955293728149883e+02
1.184848484848484818e+00 -6.878787878787880061e-02 1.150253563065036957e+02
1.192929292929292950e+00 -6.878787878787880061e-02 1.143919315378219324e+02
1.201010101010100861e+00 -6.878787878787880061e-02 1.138004370726391699e+02
1.209090909090908994e+00 -6.878787878787880061e-02 1.132489623423634981e+02
1.217171717171717127e+00 -6.878787878787880061e-02 1.127015282829824798e+02
1.225252525252525260e+00 -6.878787878787880061e-02 1.121770104290462484e+02
1.233333333333333393e+00 -6.878787878787880061e-02 1.116883027862836286e+02
1.241414141414141525e+00 -6.878787878787880061e-02 1.112338485360752429e+02
1.249494949494949436e+00 -6.878787878787880061e-02 1.107692679384677490e+02
1.257575757575757569e+00 -6.878787878787880061e-02 1.100554883184014585e+02
1.265656565656565480e+00 -6.878787878787880061e-02 1.093847882724733438e+02
1.273737373737373613e+00 -6.878787878787880061e-02 1.087552820041304500e+02
1.281818181818181746e+00 -6.878787878787880061e-02 1.081651782423256378e+02
1.289898989898989878e+00 -6.878787878787880061e-02 1.076127748930765051e+02
1.297979797979798011e+00 -6.878787878787880061e-02 1.070964540245303596e+02
1.306060606060606144e+00 -6.878787878787880061e-02 1.063910616233196720e+02
1.314141414141414055e+00 -6.878787878787880061e-02 1.056755168649288237e+02
1.322222222222222188e+00 -6.878787878787880061e-02 1.050004351621502821e+02
1.330303030303030098e+00 -6.878787878787880061e-02 1.043641205201375186e+02
1.338383838383838231e+00 -6.878787878787880061e-02 1.037649586047055124e+02
1.346464646464646364e+00 -6.878787878787880061e-02 1.032014123022812555e+02
1.354545454545454497e+00 -6.878787878787880061e-02 1.026720175458377469e+02
1.362626262626262630e+00 -6.878787878787880061e-02 1.021631705625116382e+02
1.370707070707070763e+00 -6.878787878787880061e-02 1.016750183494073667e+02
1.378787878787878896e+00 -6.878787878787880061e-02 1.012202269040939200e+02
1.386868686868686806e+00 -6.878787878787880061e-02 1.008259092744505949e+02
1.394949494949494939e+00 -6.878787878787880061e-02 1.004581742298229869e+02
1.403030303030302850e+00 -6.878787878787880061e-02 1.001160104644111044e+02
1.411111111111110983e+00 -6.878787878787880061e-02 9.979845115241009523e+01
1.419191919191919116e+00 -6.878787878787880061e-02 9.950457169768488086e+01
1.427272727272727249e+00 -6.878787878787880061e-02 9.914146423436791622e+01
1.435353535353535381e+00 -6.878787878787880061e-02 9.879106316348428152e+01
1.443434343434343514e+00 -6.878787878787880061e-02 9.846491004679958792e+01
1.451515151515151425e+00 -6.878787878787880061e-02 9.816211593593041584e+01
1.459595959595959558e+00 -6.878787878787880061e-02 9.788182941198142828e+01
1.467676767676767469e+00 -6.878787878787880061e-02 9.762323476052117144e+01
1.475757575757575601e+00 -6.878787878787880061e-02 9.737270764784199173e+01
1.483838383838383734e+00 -6.878787878787880061e-02 9.713879605086562208e+01
1.491919191919191867e+00 -6.878787878787880061e-02 9.692472187254784899e+01
1.500000000000000000e+00 -6.878787878787880061e-02 9.672978560480900967e+01
6.999999999999999556e-01 -6.757575757575758069e-02 2.049835094797309409e+02
7.080808080808080884e-01 -6.757575757575758069e-02 2.015450203184216775e+02
7.161616161616161103e-01 -6.757575757575758069e-02 1.983623772422964180e+02
7.242424242424242431e-01 -6.757575757575758069e-02 1.950424682273475128e+02
7.323232323232322649e-01 -6.757575757575758069e-02 1.914962226235204525e+02
7.404040404040403978e-01 -6.757575757575758069e-02 1.882182854926827531e+02
7.484848484848484196e-01 -6.757575757575758069e-02 1.851898704724654294e+02
7.565656565656565524e-01 -6.757575757575758069e-02 1.823912883901801365e+02
7.646464646464645742e-01 -6.757575757575758069e-02 1.796873874251825498e+02
7.727272727272727071e-01 -6.757575757575758069e-02 1.769714898023505896e+02
7.808080808080807289e-01 -6.757575757575758069e-02 1.744723071091188160e+02
7.888888888888888618e-01 -6.757575757575758069e-02 1.722171164991368641e+02
7.969696969696968836e-01 -6.757575757575758069e-02 1.700708131128364755e+02
8.050505050505050164e-01 -6.757575757575758069e-02 1.680385684046875383e+02
8.131313131313131493e-01 -6.757575757575758069e-02 1.661490941750643628e+02
8.212121212121211711e-01 -6.757575757575758069e-02 1.643878750904378023e+02
8.292929292929291929e-01 -6.757575757575758069e-02 1.627172156315619134e+02
8.373737373737373257e-01 -6.757575757575758069e-02 1.610784891460635890e+02
8.454545454545454586e-01 -6.757575757575758069e-02 1.596825397502956889e+02
8.535353535353534804e-01 -6.757575757575758069e-02 1.583793066464915569e+02
8.616161616161615022e-01 -6.757575757575758069e-02 1.571631855533617852e+02
8.696969696969696351e-01 -6.757575757575758069e-02 1.560292897789414326e+02
8.777777777777777679e-01 -6.757575757575758069e-02 1.547300760208008228e+02
8.858585858585857897e-01 -6.757575757575758069e-02 1.534952473300322708e+02
8.939393939393939226e-01 -6.757575757575758069e-02 1.522738006122291381e+02
9.020202020202019444e-01 -6.757575757575758069e-02 1.505294255719507248e+02
9.101010101010100772e-01 -6.757575757575758069e-02 1.488538271795186461e+02
9.181818181818180991e-01 -6.757575757575758069e-02 1.470606047441419548e+02
9.262626262626262319e-01 -6.757575757575758069e-02 1.453334672433688297e+02
9.343434343434342537e-01 -6.757575757575758069e-02 1.436953534363048846e+02
9.424242424242423866e-01 -6.757575757575758069e-02 1.421578270439271705e+02
9.505050505050505194e-01 -6.757575757575758069e-02 1.407155645640080479e+02
9.585858585858585412e-01 -6.757575757575758069e-02 1.393631041067872616e+02
9.666666666666665630e-01 -6.757575757575758069e-02 1.380952557236690552e+02
9.747474747474746959e-01 -6.757575757575758069e-02 1.369071790247888032e+02
9.828282828282828287e-01 -6.757575757575758069e-02 1.357943567746961548e+02
9.909090909090908506e-01 -6.757575757575758069e-02 1.347525706680233100e+02
9.989898989898988724e-01 -6.757575757575758069e-02 1.337778790908526787e+02
1.007070707070707005e+00 -6.757575757575758069e-02 1.328665966920616484e+02
1.015151515151515138e+00 -6.757575757575758069e-02 1.320152756055857992e+02
1.023232323232323271e+00 -6.757575757575758069e-02 1.312206881795310380e+02
1.031313131313131404e+00 -6.757575757575758069e-02 1.304798110815357006e+02
1.039393939393939315e+00 -6.757575757575758069e-02 1.297898106619239229e+02
1.047474747474747447e+00 -6.757575757575758069e-02 1.291475748022312189e+02
1.055555555555555580e+00 -6.757575757575758069e-02 1.285388218999596290e+02
1.063636363636363491e+00 -6.757575757575758069e-02 1.277850517867528737e+02
1.071717171717171624e+00 -6.757575757575758069e-02 1.266223922138669593e+02
1.079797979797979757e+00 -6.757575757575758069e-02 1.253751216656714433e+02
1.087878787878787890e+00 -6.757575757575758069e-02 1.239356350862994418e+02
1.095959595959596022e+00 -6.757575757575758069e-02 1.225746460544703353e+02
1.104040404040403933e+00 -6.757575757575758069e-02 1.212991581135867989e+02
1.112121212121212066e+00 -6.757575757575758069e-02 1.201019684661915221e+02
1.120202020202020199e+00 -6.757575757575758069e-02 1.189706478062567783e+02
1.128282828282828110e+00 -6.757575757575758069e-02 1.179019773338522015e+02
1.136363636363636243e+00 -6.757575757575758069e-02 1.169086062217000688e+02
1.144444444444444375e+00 -6.757575757575758069e-02 1.160479408333334845e+02
1.152525252525252508e+00 -6.757575757575758069e-02 1.152405844425475436e+02
1.160606060606060641e+00 -6.757575757575758069e-02 1.144839899864032446e+02
1.168686868686868774e+00 -6.757575757575758069e-02 1.137757506500352918e+02
1.176767676767676685e+00 -6.757575757575758069e-02 1.131134604963277894e+02
1.184848484848484818e+00 -6.757575757575758069e-02 1.124876792010113462e+02
1.192929292929292950e+00 -6.757575757575758069e-02 1.119039610255136097e+02
1.201010101010100861e+00 -6.757575757575758069e-02 1.113603750522610198e+02
1.209090909090908994e+00 -6.757575757575758069e-02 1.108152602158011035e+02
1.217171717171717127e+00 -6.757575757575758069e-02 1.103333189820510967e+02
1.225252525252525260e+00 -6.757575757575758069e-02 1.098900264101108633e+02
1.233333333333333393e+00 -6.757575757575758069e-02 1.094807842449646387e+02
1.241414141414141525e+00 -6.757575757575758069e-02 1.089224846698454030e+02
1.249494949494949436e+00 -6.757575757575758069e-02 1.082150843874430564e+02
